,Parcel Number,Number of Rooms,Property Area,Total Taxable Value
59,0025004B,2.0,1500.0,109833.0
60,0025004D,2.0,13280.0,3750228.0
61,0025012,5.0,14198.0,1913213.0
62,0025014,5.0,38247.0,1602872.0
63,0025017,1.0,558.0,1418327.0
64,0025020,8.0,15488.0,1095588.0
65,0025021,18.0,10450.0,815077.0
66,0026028,75.0,16017.0,6300000.0
67,0026T001A,0.0,0.0,2800.0
68,0026T001B,0.0,0.0,2800.0
69,0026T002A,0.0,0.0,2800.0
70,0026T002B,0.0,0.0,1400.0
71,0026T003A,0.0,0.0,2800.0
72,0026T003B,0.0,0.0,2800.0
73,0026T004A,0.0,0.0,2800.0
74,0026T004B,0.0,0.0,2800.0
75,0026T005A,0.0,0.0,2800.0
76,0026T005B,0.0,0.0,1400.0
77,0026T006A,0.0,0.0,2800.0
78,0026T006B,0.0,0.0,1400.0
79,0026T007A,0.0,0.0,2800.0
80,0026T007B,0.0,0.0,2800.0
81,0026T008A,0.0,0.0,2800.0
82,0026T008B,0.0,0.0,2800.0
83,0026T009A,0.0,0.0,2800.0
84,0026T009B,0.0,0.0,1400.0
85,0026T010A,0.0,0.0,2800.0
86,0026T010B,0.0,0.0,2800.0
87,0026T011A,0.0,0.0,2800.0
88,0026T011B,0.0,0.0,2800.0
89,0026T012A,0.0,0.0,2800.0
90,0026T012B,0.0,0.0,2800.0
91,0026T013A,0.0,0.0,2800.0
92,0026T013B,0.0,0.0,2800.0
93,0026T014A,0.0,0.0,2800.0
94,0026T014B,0.0,0.0,1400.0
95,0026T015A,0.0,0.0,2800.0
96,0026T015B,0.0,0.0,2800.0
97,0026T016A,0.0,0.0,2800.0
98,0026T016B,0.0,0.0,2800.0
99,0026T017A,0.0,0.0,2800.0
100,0026T017B,0.0,0.0,2800.0
101,0026T018A,0.0,0.0,2800.0
102,0026T018B,0.0,0.0,2800.0
103,0026T019A,0.0,0.0,2800.0
104,0026T019B,0.0,0.0,1400.0
105,0026T020A,0.0,0.0,2800.0
106,0026T020B,0.0,0.0,1400.0
107,0026T021A,0.0,0.0,1400.0
108,0026T021B,0.0,0.0,2800.0
109,0026T022A,0.0,0.0,2800.0
110,0026T022B,0.0,0.0,1400.0
111,0026T023A,0.0,0.0,2800.0
112,0026T023B,0.0,0.0,2800.0
113,0026T024A,0.0,0.0,2800.0
114,0026T024B,0.0,0.0,2800.0
115,0026T025A,0.0,0.0,2800.0
116,0026T025B,0.0,0.0,2800.0
117,0026T026A,0.0,0.0,2800.0
118,0026T026B,0.0,0.0,2800.0
119,0026T027A,0.0,0.0,2800.0
120,0026T027B,0.0,0.0,1400.0
121,0026T028A,0.0,0.0,2800.0
122,0026T028B,0.0,0.0,1400.0
123,0026T029A,0.0,0.0,2800.0
124,0026T029B,0.0,0.0,1400.0
125,0026T030A,0.0,0.0,2800.0
126,0026T030B,0.0,0.0,2800.0
127,0026T031A,0.0,0.0,2800.0
128,0026T031B,0.0,0.0,1400.0
129,0026T032A,0.0,0.0,2800.0
130,0026T032B,0.0,0.0,1400.0
131,0026T033A,0.0,0.0,1400.0
132,0026T033B,0.0,0.0,2800.0
133,0026T034A,0.0,0.0,2800.0
134,0026T034B,0.0,0.0,1400.0
135,0026T035A,0.0,0.0,2800.0
136,0026T035B,0.0,0.0,2800.0
137,0026T036A,0.0,0.0,2800.0
138,0026T036B,0.0,0.0,2800.0
139,0026T037A,0.0,0.0,1400.0
140,0026T037B,0.0,0.0,2800.0
141,0026T038A,0.0,0.0,2800.0
142,0026T038B,0.0,0.0,2800.0
143,0026T039A,0.0,0.0,2800.0
144,0026T039B,0.0,0.0,2800.0
145,0026T040A,0.0,0.0,2800.0
146,0026T040B,0.0,0.0,2800.0
147,0026T041A,0.0,0.0,1400.0
148,0026T041B,0.0,0.0,1400.0
149,0026T042A,0.0,0.0,2800.0
150,0026T042B,0.0,0.0,2800.0
151,0026T043A,0.0,0.0,1400.0
152,0026T043B,0.0,0.0,1400.0
153,0026T044A,0.0,0.0,2800.0
154,0026T044B,0.0,0.0,2800.0
155,0026T045A,0.0,0.0,2800.0
156,0026T045B,0.0,0.0,2800.0
157,0026T046A,0.0,0.0,2800.0
158,0026T046B,0.0,0.0,2800.0
159,0026T047A,0.0,0.0,2800.0
160,0026T047B,0.0,0.0,2800.0
161,0026T048A,0.0,0.0,2800.0
162,0026T048B,0.0,0.0,2800.0
163,0026T049A,0.0,0.0,2800.0
164,0026T049B,0.0,0.0,2800.0
165,0026T050A,0.0,0.0,2800.0
166,0026T050B,0.0,0.0,1400.0
167,0026T051A,0.0,0.0,2800.0
168,0026T051B,0.0,0.0,2800.0
169,0026T052A,0.0,0.0,2800.0
170,0026T052B,0.0,0.0,2800.0
171,0026T053A,0.0,0.0,2800.0
172,0026T053B,0.0,0.0,2800.0
173,0026T054A,0.0,0.0,2800.0
174,0026T054B,0.0,0.0,2800.0
175,0026T055A,0.0,0.0,2800.0
176,0026T055B,0.0,0.0,2800.0
177,0026T056A,0.0,0.0,2800.0
178,0026T056B,0.0,0.0,2800.0
179,0026T057A,0.0,0.0,2800.0
180,0026T057B,0.0,0.0,2800.0
181,0026T058A,0.0,0.0,2800.0
182,0026T058B,0.0,0.0,1400.0
183,0026T059A,0.0,0.0,2800.0
184,0026T059B,0.0,0.0,2800.0
185,0026T060A,0.0,0.0,1400.0
186,0026T060B,0.0,0.0,1400.0
187,0026T061A,0.0,0.0,2800.0
188,0026T061B,0.0,0.0,2800.0
189,0026T062A,0.0,0.0,2800.0
190,0026T062B,0.0,0.0,1400.0
191,0026T063A,0.0,0.0,2800.0
192,0026T063B,0.0,0.0,1400.0
193,0026T064A,0.0,0.0,2800.0
194,0026T064B,0.0,0.0,2800.0
195,0026T065A,0.0,0.0,2800.0
196,0026T065B,0.0,0.0,2800.0
197,0026T066A,0.0,0.0,2800.0
198,0026T066B,0.0,0.0,2800.0
199,0026T067A,0.0,0.0,2800.0
200,0026T067B,0.0,0.0,1400.0
201,0026T068A,0.0,0.0,2800.0
202,0026T068B,0.0,0.0,2800.0
203,0026T069A,0.0,0.0,2800.0
204,0026T069B,0.0,0.0,1400.0
205,0026T070A,0.0,0.0,2800.0
206,0026T070B,0.0,0.0,1400.0
207,0026T071A,0.0,0.0,2800.0
208,0026T071B,0.0,0.0,2800.0
209,0026T072A,0.0,0.0,1400.0
210,0026T072B,0.0,0.0,1400.0
211,0026T073A,0.0,0.0,2800.0
212,0026T073B,0.0,0.0,2800.0
213,0026T074A,0.0,0.0,1400.0
214,0026T074B,0.0,0.0,2800.0
215,0026T075A,0.0,0.0,2800.0
216,0026T075B,0.0,0.0,1400.0
217,0026T076A,0.0,0.0,2800.0
218,0026T076B,0.0,0.0,2800.0
219,0026T077A,0.0,0.0,1400.0
220,0026T077B,0.0,0.0,2800.0
221,0026T078A,0.0,0.0,2800.0
222,0026T078B,0.0,0.0,1400.0
223,0026T079A,0.0,0.0,2800.0
224,0026T079B,0.0,0.0,2800.0
225,0026T080A,0.0,0.0,2800.0
226,0026T080B,0.0,0.0,2800.0
227,0026T081A,0.0,0.0,2800.0
228,0026T081B,0.0,0.0,1400.0
229,0026T082A,0.0,0.0,2800.0
230,0026T082B,0.0,0.0,2800.0
231,0026T083A,0.0,0.0,2800.0
232,0026T083B,0.0,0.0,2800.0
233,0026T084A,0.0,0.0,2800.0
234,0026T084B,0.0,0.0,2800.0
235,0026T085A,0.0,0.0,2800.0
236,0026T085B,0.0,0.0,1400.0
237,0026T086A,0.0,0.0,2800.0
238,0026T086B,0.0,0.0,2800.0
239,0026T087A,0.0,0.0,2800.0
240,0026T087B,0.0,0.0,2800.0
241,0026T088A,0.0,0.0,2800.0
242,0026T088B,0.0,0.0,2800.0
243,0026T089A,0.0,0.0,2800.0
244,0026T089B,0.0,0.0,1400.0
245,0026T090A,0.0,0.0,2800.0
246,0026T090B,0.0,0.0,2800.0
247,0026T091A,0.0,0.0,2800.0
248,0026T091B,0.0,0.0,2800.0
249,0026T092A,0.0,0.0,2800.0
250,0026T092B,0.0,0.0,2800.0
251,0026T093A,0.0,0.0,2800.0
252,0026T093B,0.0,0.0,1400.0
253,0026T094A,0.0,0.0,2800.0
254,0026T094B,0.0,0.0,2800.0
255,0026T095A,0.0,0.0,2800.0
256,0026T095B,0.0,0.0,1400.0
257,0026T096A,0.0,0.0,2800.0
258,0026T096B,0.0,0.0,2800.0
259,0026T097A,0.0,0.0,2800.0
260,0026T097B,0.0,0.0,1400.0
261,0026T098A,0.0,0.0,2800.0
262,0026T098B,0.0,0.0,2800.0
263,0026T099A,0.0,0.0,2800.0
264,0026T099B,0.0,0.0,2800.0
265,0026T100A,0.0,0.0,2800.0
266,0026T100B,0.0,0.0,2800.0
267,0026T101A,0.0,0.0,2800.0
268,0026T101B,0.0,0.0,2800.0
269,0026T102A,0.0,0.0,2800.0
270,0026T102B,0.0,0.0,2800.0
271,0026T103A,0.0,0.0,2800.0
272,0026T103B,0.0,0.0,2800.0
273,0026T104A,0.0,0.0,2800.0
274,0026T104B,0.0,0.0,2800.0
275,0026T105A,0.0,0.0,2800.0
276,0026T105B,0.0,0.0,2800.0
277,0026T106A,0.0,0.0,2800.0
278,0026T106B,0.0,0.0,2800.0
279,0026T107A,0.0,0.0,1400.0
280,0026T107B,0.0,0.0,2800.0
281,0026T108A,0.0,0.0,2800.0
282,0026T108B,0.0,0.0,1400.0
283,0026T109A,0.0,0.0,1400.0
284,0026T109B,0.0,0.0,2800.0
285,0026T110A,0.0,0.0,2800.0
286,0026T110B,0.0,0.0,1400.0
287,0026T111A,0.0,0.0,2800.0
288,0026T111B,0.0,0.0,2800.0
289,0026T112A,0.0,0.0,2800.0
290,0026T112B,0.0,0.0,1400.0
291,0026T113A,0.0,0.0,2800.0
292,0026T113B,0.0,0.0,1400.0
293,0026T114A,0.0,0.0,2488.0
294,0026T114B,0.0,0.0,2800.0
295,0026T115A,0.0,0.0,2800.0
296,0026T115B,0.0,0.0,2800.0
297,0026T116A,0.0,0.0,1400.0
298,0026T116B,0.0,0.0,2800.0
299,0026T117A,0.0,0.0,2800.0
300,0026T117B,0.0,0.0,2800.0
301,0026T118A,0.0,0.0,1400.0
302,0026T118B,0.0,0.0,1400.0
303,0026T119A,0.0,0.0,2800.0
304,0026T119B,0.0,0.0,2800.0
305,0026T120A,0.0,0.0,2800.0
306,0026T120B,0.0,0.0,2800.0
307,0026T121A,0.0,0.0,2800.0
308,0026T121B,0.0,0.0,2800.0
309,0026T122A,0.0,0.0,2800.0
310,0026T122B,0.0,0.0,2800.0
311,0026T123A,0.0,0.0,2800.0
312,0026T123B,0.0,0.0,2800.0
313,0026T124A,0.0,0.0,2800.0
314,0026T124B,0.0,0.0,1400.0
315,0026T125A,0.0,0.0,2800.0
316,0026T125B,0.0,0.0,2800.0
317,0026T126A,0.0,0.0,1400.0
318,0026T126B,0.0,0.0,1400.0
319,0026T127A,0.0,0.0,2800.0
320,0026T127B,0.0,0.0,2800.0
321,0026T128A,0.0,0.0,2800.0
322,0026T128B,0.0,0.0,1400.0
323,0026T129A,0.0,0.0,1400.0
324,0026T129B,0.0,0.0,2800.0
325,0026T130A,0.0,0.0,2800.0
326,0026T130B,0.0,0.0,2800.0
327,0026T131A,0.0,0.0,1400.0
328,0026T131B,0.0,0.0,2800.0
329,0026T132A,0.0,0.0,2800.0
330,0026T132B,0.0,0.0,2800.0
331,0026T133A,0.0,0.0,2800.0
332,0026T133B,0.0,0.0,1400.0
333,0026T134A,0.0,0.0,1400.0
334,0026T134B,0.0,0.0,2800.0
335,0026T135A,0.0,0.0,1400.0
336,0026T135B,0.0,0.0,1400.0
337,0026T136A,0.0,0.0,2800.0
338,0026T136B,0.0,0.0,2800.0
339,0026T137A,0.0,0.0,1400.0
340,0026T137B,0.0,0.0,1400.0
341,0026T138A,0.0,0.0,2800.0
342,0026T138B,0.0,0.0,2800.0
343,0026T139A,0.0,0.0,2800.0
344,0026T139B,0.0,0.0,1400.0
345,0026T140A,0.0,0.0,2800.0
346,0026T140B,0.0,0.0,2800.0
347,0026T141A,0.0,0.0,2800.0
348,0026T141B,0.0,0.0,1400.0
349,0026T142A,0.0,0.0,2800.0
350,0026T142B,0.0,0.0,2800.0
351,0026T143A,0.0,0.0,1400.0
352,0026T143B,0.0,0.0,1400.0
353,0026T144A,0.0,0.0,2800.0
354,0026T144B,0.0,0.0,2800.0
355,0026T145A,0.0,0.0,1400.0
356,0026T145B,0.0,0.0,2800.0
357,0026T146A,0.0,0.0,2800.0
358,0026T146B,0.0,0.0,2800.0
359,0026T147A,0.0,0.0,2128.0
360,0026T147B,0.0,0.0,1400.0
361,0026T148A,0.0,0.0,2800.0
362,0026T148B,0.0,0.0,1400.0
363,0026T149A,0.0,0.0,2800.0
364,0026T149B,0.0,0.0,2800.0
365,0026T150A,0.0,0.0,2800.0
366,0026T150B,0.0,0.0,1400.0
367,0026T151A,0.0,0.0,2800.0
368,0026T151B,0.0,0.0,2800.0
369,0026T152A,0.0,0.0,1400.0
370,0026T152B,0.0,0.0,1400.0
371,0026T153A,0.0,0.0,2800.0
372,0026T153B,0.0,0.0,2800.0
373,0026T154A,0.0,0.0,2266.0
374,0026T154B,0.0,0.0,1400.0
375,0026T155A,0.0,0.0,1400.0
376,0026T155B,0.0,0.0,2800.0
377,0026T156A,0.0,0.0,2800.0
378,0026T156B,0.0,0.0,2800.0
379,0026T157A,0.0,0.0,1400.0
380,0026T157B,0.0,0.0,2800.0
381,0026T158A,0.0,0.0,2800.0
382,0026T158B,0.0,0.0,1400.0
383,0026T159A,0.0,0.0,1400.0
384,0026T159B,0.0,0.0,1400.0
385,0026T160A,0.0,0.0,1400.0
386,0026T160B,0.0,0.0,2800.0
387,0026T161A,0.0,0.0,2800.0
388,0026T161B,0.0,0.0,1400.0
389,0026T162A,0.0,0.0,1400.0
390,0026T162B,0.0,0.0,1400.0
391,0026T163A,0.0,0.0,2800.0
392,0026T163B,0.0,0.0,2800.0
393,0026T164A,0.0,0.0,2800.0
394,0026T164B,0.0,0.0,1400.0
395,0026T165A,0.0,0.0,2800.0
396,0026T165B,0.0,0.0,2800.0
397,0026T166A,0.0,0.0,2800.0
398,0026T166B,0.0,0.0,2800.0
399,0026T167A,0.0,0.0,2800.0
400,0026T167B,0.0,0.0,2800.0
401,0026T168A,0.0,0.0,2800.0
402,0026T168B,0.0,0.0,1400.0
403,0026T169A,0.0,0.0,2800.0
404,0026T169B,0.0,0.0,2800.0
405,0026T170A,0.0,0.0,2800.0
406,0026T170B,0.0,0.0,2800.0
407,0026T171A,0.0,0.0,2800.0
408,0026T171B,0.0,0.0,2800.0
409,0026T172A,0.0,0.0,2800.0
410,0026T172B,0.0,0.0,2800.0
411,0026T173A,0.0,0.0,2800.0
412,0026T173B,0.0,0.0,2800.0
413,0026T174A,0.0,0.0,2800.0
414,0026T174B,0.0,0.0,2800.0
415,0026T175A,0.0,0.0,2800.0
416,0026T175B,0.0,0.0,2800.0
417,0026T176A,0.0,0.0,2800.0
418,0026T176B,0.0,0.0,2800.0
419,0026T177A,0.0,0.0,2800.0
420,0026T177B,0.0,0.0,2800.0
421,0026T178A,0.0,0.0,2800.0
422,0026T178B,0.0,0.0,1400.0
423,0026T179A,0.0,0.0,2800.0
424,0026T179B,0.0,0.0,1130.0
425,0026T180A,0.0,0.0,1400.0
426,0026T180B,0.0,0.0,2800.0
427,0026T181A,0.0,0.0,2800.0
428,0026T181B,0.0,0.0,2800.0
429,0026T182A,0.0,0.0,2800.0
430,0026T182B,0.0,0.0,1400.0
431,0026T183A,0.0,0.0,2800.0
432,0026T183B,0.0,0.0,2800.0
433,0026T184A,0.0,0.0,2800.0
434,0026T184B,0.0,0.0,2800.0
435,0026T185A,0.0,0.0,1400.0
436,0026T185B,0.0,0.0,2800.0
437,0026T186A,0.0,0.0,1400.0
438,0026T186B,0.0,0.0,1400.0
439,0026T187A,0.0,0.0,2800.0
440,0026T187B,0.0,0.0,2800.0
441,0026T188A,0.0,0.0,2800.0
442,0026T188B,0.0,0.0,2800.0
443,0026T189A,0.0,0.0,2800.0
444,0026T189B,0.0,0.0,2800.0
445,0026T190A,0.0,0.0,2800.0
446,0026T190B,0.0,0.0,2800.0
447,0026T191A,0.0,0.0,2800.0
448,0026T191B,0.0,0.0,2800.0
449,0026T192A,0.0,0.0,2800.0
450,0026T192B,0.0,0.0,2800.0
451,0026T193A,0.0,0.0,2800.0
452,0026T193B,0.0,0.0,2800.0
453,0026T194A,0.0,0.0,2800.0
454,0026T194B,0.0,0.0,1400.0
455,0026T195A,0.0,0.0,2800.0
456,0026T195B,0.0,0.0,1400.0
457,0026T196A,0.0,0.0,2800.0
458,0026T196B,0.0,0.0,1400.0
459,0026T197A,0.0,0.0,2800.0
460,0026T197B,0.0,0.0,2800.0
461,0026T198A,0.0,0.0,2800.0
462,0026T198B,0.0,0.0,1400.0
463,0026T199A,0.0,0.0,2800.0
464,0026T199B,0.0,0.0,1400.0
465,0026T200A,0.0,0.0,2800.0
466,0026T200B,0.0,0.0,2800.0
467,0026T201A,0.0,0.0,2800.0
468,0026T201B,0.0,0.0,2800.0
469,0026T202A,0.0,0.0,2800.0
470,0026T202B,0.0,0.0,2800.0
471,0026T203A,0.0,0.0,2800.0
472,0026T203B,0.0,0.0,2800.0
473,0026T204A,0.0,0.0,2800.0
474,0026T204B,0.0,0.0,2800.0
475,0026T205A,0.0,0.0,2800.0
476,0026T205B,0.0,0.0,2800.0
477,0026T206A,0.0,0.0,2800.0
478,0026T206B,0.0,0.0,2800.0
479,0026T207A,0.0,0.0,1400.0
480,0026T207B,0.0,0.0,1400.0
481,0026T208A,0.0,0.0,1400.0
482,0026T208B,0.0,0.0,2800.0
483,0026T209A,0.0,0.0,2800.0
484,0026T209B,0.0,0.0,1400.0
485,0026T210A,0.0,0.0,2800.0
486,0026T210B,0.0,0.0,2800.0
487,0026T211A,0.0,0.0,2800.0
488,0026T211B,0.0,0.0,2800.0
489,0026T212A,0.0,0.0,2800.0
490,0026T212B,0.0,0.0,1148.0
491,0026T213A,0.0,0.0,2800.0
492,0026T213B,0.0,0.0,2800.0
493,0026T214A,0.0,0.0,2800.0
494,0026T214B,0.0,0.0,2800.0
495,0026T215A,0.0,0.0,2800.0
496,0026T215B,0.0,0.0,2800.0
497,0026T216A,0.0,0.0,2800.0
498,0026T216B,0.0,0.0,2800.0
499,0026T217A,0.0,0.0,1400.0
500,0026T217B,0.0,0.0,2800.0
501,0026T218A,0.0,0.0,2800.0
502,0026T218B,0.0,0.0,2800.0
503,0026T219A,0.0,0.0,2800.0
504,0026T219B,0.0,0.0,1400.0
505,0026T220A,0.0,0.0,1400.0
506,0026T220B,0.0,0.0,2800.0
507,0026T221A,0.0,0.0,1400.0
508,0026T221B,0.0,0.0,2800.0
509,0026T222A,0.0,0.0,2800.0
510,0026T222B,0.0,0.0,2800.0
511,0026T223A,0.0,0.0,2800.0
512,0026T223B,0.0,0.0,2800.0
513,0026T224A,0.0,0.0,1400.0
514,0026T224B,0.0,0.0,1400.0
515,0026T225A,0.0,0.0,2800.0
516,0026T225B,0.0,0.0,1400.0
517,0026T226A,0.0,0.0,2800.0
518,0026T227A,0.0,0.0,2800.0
519,0026T227B,0.0,0.0,2800.0
520,0026T228A,0.0,0.0,2800.0
521,0026T228B,0.0,0.0,2800.0
522,0026T229A,0.0,0.0,1400.0
523,0026T229B,0.0,0.0,2800.0
524,0026T230A,0.0,0.0,2800.0
525,0026T230B,0.0,0.0,1400.0
526,0026T231A,0.0,0.0,2800.0
527,0026T231B,0.0,0.0,1400.0
528,0026T232A,0.0,0.0,2800.0
529,0026T232B,0.0,0.0,1400.0
530,0026T233A,0.0,0.0,2800.0
531,0026T233B,0.0,0.0,1400.0
532,0026T234A,0.0,0.0,2800.0
533,0026T234B,0.0,0.0,1400.0
534,0026T235A,0.0,0.0,2800.0
535,0026T235B,0.0,0.0,1400.0
536,0026T236A,0.0,0.0,2800.0
537,0026T236B,0.0,0.0,2800.0
538,0026T237A,0.0,0.0,2800.0
539,0026T237B,0.0,0.0,1400.0
540,0026T238A,0.0,0.0,2800.0
541,0026T238B,0.0,0.0,1400.0
542,0026T239A,0.0,0.0,1400.0
543,0026T239B,0.0,0.0,1400.0
544,0026T240A,0.0,0.0,2800.0
545,0026T240B,0.0,0.0,1400.0
546,0026T241A,0.0,0.0,1400.0
547,0026T241B,0.0,0.0,1400.0
548,0026T242A,0.0,0.0,2800.0
549,0026T242B,0.0,0.0,1400.0
550,0026T243A,0.0,0.0,1400.0
551,0026T243B,0.0,0.0,1400.0
552,0026T244A,0.0,0.0,2800.0
553,0026T244B,0.0,0.0,1400.0
554,0026T245A,0.0,0.0,2800.0
555,0026T245B,0.0,0.0,1400.0
556,0026T246A,0.0,0.0,2800.0
557,0026T246B,0.0,0.0,1400.0
558,0026T247A,0.0,0.0,2800.0
559,0026T247B,0.0,0.0,1400.0
560,0026T248A,0.0,0.0,2800.0
561,0026T248B,0.0,0.0,1400.0
562,0026T249A,0.0,0.0,2800.0
563,0026T249B,0.0,0.0,1400.0
564,0026T250A,0.0,0.0,2800.0
565,0026T250B,0.0,0.0,1400.0
566,0026T251A,0.0,0.0,1400.0
567,0026T251B,0.0,0.0,2800.0
568,0026T252A,0.0,0.0,1400.0
569,0026T252B,0.0,0.0,2800.0
570,0026T253A,0.0,0.0,2800.0
571,0026T253B,0.0,0.0,2800.0
572,0026T254A,0.0,0.0,2800.0
573,0026T254B,0.0,0.0,2800.0
574,0026T255A,0.0,0.0,2800.0
575,0026T255B,0.0,0.0,2800.0
576,0026T256A,0.0,0.0,2800.0
577,0026T256B,0.0,0.0,2800.0
578,0026T257A,0.0,0.0,2800.0
579,0026T257B,0.0,0.0,2800.0
580,0026T258A,0.0,0.0,2800.0
581,0026T258B,0.0,0.0,2800.0
582,0026T259A,0.0,0.0,2800.0
583,0026T259B,0.0,0.0,2800.0
584,0026T260A,0.0,0.0,2800.0
585,0026T260B,0.0,0.0,2800.0
586,0026T261A,0.0,0.0,1400.0
587,0026T261B,0.0,0.0,2800.0
588,0026T262A,0.0,0.0,2800.0
589,0026T262B,0.0,0.0,2800.0
590,0026T263A,0.0,0.0,2800.0
591,0026T263B,0.0,0.0,2800.0
592,0026T264A,0.0,0.0,2800.0
593,0026T264B,0.0,0.0,1400.0
594,0026T265A,0.0,0.0,2800.0
595,0026T265B,0.0,0.0,1400.0
596,0026T266A,0.0,0.0,2800.0
597,0026T266B,0.0,0.0,1400.0
598,0026T267A,0.0,0.0,2800.0
599,0026T267B,0.0,0.0,1400.0
600,0026T268A,0.0,0.0,2800.0
601,0026T268B,0.0,0.0,1400.0
602,0026T269A,0.0,0.0,1400.0
603,0026T269B,0.0,0.0,1400.0
604,0026T270A,0.0,0.0,2800.0
605,0026T270B,0.0,0.0,1400.0
606,0026T271A,0.0,0.0,2800.0
607,0026T271B,0.0,0.0,1400.0
608,0026T272A,0.0,0.0,2800.0
609,0026T272B,0.0,0.0,1400.0
610,0026T273A,0.0,0.0,2800.0
611,0026T273B,0.0,0.0,1400.0
612,0026T274A,0.0,0.0,2800.0
613,0026T274B,0.0,0.0,1400.0
614,0026T275A,0.0,0.0,2800.0
615,0026T275B,0.0,0.0,562.0
616,0026T276A,0.0,0.0,2800.0
617,0026T276B,0.0,0.0,1400.0
618,0026T277A,0.0,0.0,2800.0
619,0026T277B,0.0,0.0,1400.0
620,0026T278A,0.0,0.0,2800.0
621,0026T278B,0.0,0.0,1400.0
622,0026T279A,0.0,0.0,2800.0
623,0026T279B,0.0,0.0,1400.0
624,0026T280A,0.0,0.0,2800.0
625,0026T280B,0.0,0.0,1400.0
626,0026T281A,0.0,0.0,2800.0
627,0026T281B,0.0,0.0,1400.0
628,0026T282A,0.0,0.0,2800.0
629,0026T282B,0.0,0.0,1400.0
630,0026T283A,0.0,0.0,2800.0
631,0026T283B,0.0,0.0,1400.0
632,0026T284A,0.0,0.0,2800.0
633,0026T284B,0.0,0.0,1400.0
634,0026T285A,0.0,0.0,2800.0
635,0026T285B,0.0,0.0,1400.0
636,0026T286A,0.0,0.0,2800.0
637,0026T286B,0.0,0.0,1400.0
638,0026T287A,0.0,0.0,2800.0
639,0026T287B,0.0,0.0,1400.0
640,0026T288A,0.0,0.0,2800.0
641,0026T288B,0.0,0.0,1400.0
642,0026T289A,0.0,0.0,2800.0
643,0026T289B,0.0,0.0,1400.0
644,0026T290A,0.0,0.0,1400.0
645,0026T290B,0.0,0.0,1400.0
646,0026T291A,0.0,0.0,2800.0
647,0026T291B,0.0,0.0,1566.0
648,0026T292A,0.0,0.0,2800.0
649,0026T292B,0.0,0.0,1400.0
650,0026T293A,0.0,0.0,2800.0
651,0026T293B,0.0,0.0,1400.0
652,0026T294A,0.0,0.0,1400.0
653,0026T294B,0.0,0.0,1400.0
654,0026T295A,0.0,0.0,1400.0
655,0026T295B,0.0,0.0,1400.0
656,0026T296A,0.0,0.0,2800.0
657,0026T296B,0.0,0.0,1400.0
658,0026T297A,0.0,0.0,1400.0
659,0026T297B,0.0,0.0,1400.0
660,0026T298A,0.0,0.0,2800.0
661,0026T298B,0.0,0.0,2800.0
662,0026T299A,0.0,0.0,1400.0
663,0026T299B,0.0,0.0,2800.0
664,0026T300A,0.0,0.0,1400.0
